pmid;cuis
12520997;"[""C0017382:1"",""C0449851:1"",""C0085732:2"",""C1416989:1"",""C0037047:1"",""C0017337:2"",""C1705285:1"",""C0033053:2"",""C0011900:2"",""C0058272:1"",""C0439166:1"",""C0013364:1"",""C2347946:1"",""C0449438:2"",""C0012634:2"",""C0241664:1"",""C0205447:4"",""C0333679:1"",""C1882417:1"",""C0439064:1"",""C3151529:1"",""C0680022:1"",""C2825407:6"",""C1510992:1"",""C3842589:1"",""C0332149:1"",""C1518422:3"",""C0015780:5"",""C0030705:3"",""C0026882:1"",""C0015295:1"",""C0443196:2"",""C1444641:1"",""C0868928:1"",""C0205451:1"",""C0011011:2"",""C3542021:1"",""C1519303:1"",""C2745945:1"",""C0043292:1"",""C1845977:1"",""C1414083:1"",""C0032520:2"",""C0007294:1"",""C0205307:3"",""C0936012:2"",""C0023745:1"",""C0080103:1"",""C0086582:2"",""C0205172:1"",""C0002085:1"",""C0449439:2"",""C0015576:5"",""C0018591:2""]"
24986949;"[""C0035648:1"",""C0035110:1"",""C0347985:3"",""C1521761:1"",""C0441833:2"",""C0013264:1"",""C0205250:1"",""C1511726:1"",""C0332287:2"",""C0009566:6"",""C1524031:1"",""C0332257:1"",""C1522138:1"",""C0001779:1"",""C1561607:3"",""C0007789:1"",""C1879533:1"",""C1710548:1"",""C1521828:6"",""C0043241:4"",""C0235378:5"",""C0030705:7"",""C0205393:1"",""C0699864:1"",""C0450348:1"",""C0442805:3"",""C0205448:1"",""C0205549:1"",""C1707491:1"",""C0442759:1"",""C0011298:1"",""C0593972:1"",""C0205125:4"",""C0027868:4"",""C1882154:3"",""C0021149:1"",""C0161819:1"",""C0410698:1"",""C0086582:1"",""C1522577:1"",""C0450367:1"",""C0036439:2"",""C0439234:2"",""C0854477:1"",""C0079027:1"",""C0150905:1""]"
12194388;"[""C0205393:1"",""C0017296:1"",""C0687676:1"",""C0012854:1"",""C1881358:2"",""C0521116:1"",""C0449851:1"",""C1280477:1"",""C0392747:1"",""C0443252:1"",""C0242692:1"",""C0333607:2"",""C0017189:2"",""C0521324:1"",""C0025936:1"",""C0439858:1"",""C1533685:1"",""C0332197:1"",""C1272703:1"",""C0872178:1"",""C0686907:1"",""C0225828:1"",""C0596981:2"",""C0582263:1"",""C0087111:2"",""C0086022:2"",""C0087113:1"",""C0206535:1"",""C0332268:1"",""C1265611:1"",""C1521970:2"",""C0679006:1"",""C0086418:1"",""C0547044:1"",""C1522138:1"",""C0205314:1"",""C2828395:1"",""C0439231:1"",""C0013264:1"",""C1314680:3"",""C1522425:1"",""C0442335:7"",""C0012634:2"",""C0001483:1"",""C3151529:2"",""C0015295:1"",""C1520007:1"",""C0026845:1"",""C1701901:1"",""C1511726:1"",""C0521026:1"",""C0079613:1"",""C1444754:1"",""C3161035:1"",""C0042774:1"",""C0079941:1"",""C1414083:6"",""C0205450:1"",""C3539125:1"",""C3827682:1"",""C2348792:1"",""C0030705:1"",""C0443225:1"",""C0549177:1""]"
21765150;"[""C0205143:1"",""C0008059:1"",""C0026649:2"",""C1705242:1"",""C3245505:1"",""C0441833:2"",""C0205250:1"",""C2603343:1"",""C2827666:1"",""C0376522:1"",""C0205314:1"",""C1883073:1"",""C1882115:1"",""C1515926:1"",""C0000894:1"",""C0042295:1"",""C1301808:1"",""C0183210:1"",""C0012634:1"",""C0444675:1"",""C0205166:1"",""C0547044:1"",""C0030705:2"",""C0205307:1"",""C0242485:1"",""C1261322:1"",""C0184511:1"",""C0449774:1"",""C0439830:3"",""C0686744:1"",""C0016928:2"",""C3812881:1"",""C0234130:1"",""C1280519:1"",""C1881878:1"",""C1280632:3"",""C3242274:1"",""C0013264:3"",""C0429886:1"",""C2948600:1"",""C0205357:3""]"
19864165;"[""C0035168:1"",""C0242356:1"",""C1998319:1"",""C0917713:1"",""C0687676:1"",""C0018801:1"",""C0441833:1"",""C0205210:1"",""C0036577:1"",""C0005893:1"",""C0001779:2"",""C1708943:1"",""C1514923:1"",""C0205099:1"",""C1518422:3"",""C1706779:1"",""C3841811:1"",""C0079399:1"",""C0018823:4"",""C1707478:1"",""C1829939:1"",""C1273937:1"",""C0034975:1"",""C0150312:3"",""C1707391:1"",""C0681758:1"",""C0007193:1"",""C0332268:1"",""C1511559:1"",""C0040739:1"",""C0042373:1"",""C0038952:1"",""C2603343:1"",""C0041703:1"",""C1707455:1"",""C1511726:1"",""C0444499:3"",""C3714514:1"",""C1706907:1"",""C0449851:1"",""C1548437:1"",""C0439064:1"",""C0018704:1"",""C1705242:1"",""C0220825:1"",""C0030705:8"",""C0449295:1"",""C0439234:3"",""C1274040:3"",""C0026850:6"",""C2348205:2"",""C0349782:2"",""C1521828:1""]"
19774532;"[""C0011065:1"",""C0015576:1"",""C0030705:7"",""C0013264:1"",""C1457869:1"",""C0339510:1"",""C0441889:1"",""C0085537:1"",""C0332149:1"",""C0439234:1"",""C0332306:2"",""C0683525:1"",""C0870221:1"",""C1414083:1"",""C0332185:1"",""C0443172:1"",""C1517942:1"",""C1836348:1"",""C0026845:1"",""C1701901:2"",""C0040223:1"",""C0205224:1"",""C0449445:1"",""C3272283:1"",""C0314603:1"",""C1511790:1"",""C0034869:1"",""C1979768:1"",""C1880156:1"",""C1280477:1"",""C0205210:2"",""C0679138:1"",""C0441833:1"",""C0039796:1"",""C1521991:1"",""C0034866:1"",""C0012634:1"",""C0032854:1"",""C0001554:1"",""C0205388:1"",""C1293116:1"",""C1527148:2"",""C0242479:1"",""C1882348:1"",""C0439064:1"",""C1513388:1"",""C1707478:1"",""C0868945:1"",""C0205485:1"",""C0376558:2"",""C0043143:1"",""C0449913:1"",""C0940929:1"",""C1279919:1"",""C0009566:1"",""C0205329:1"",""C2979881:1""]"
19340426;"[""C0035647:1"",""C0439234:1"",""C0334121:1"",""C0453962:1"",""C1882154:1"",""C0457453:1"",""C0332466:1"",""C0161818:1"",""C0450385:1"",""C0854477:1"",""C0332173:2"",""C0032854:1"",""C0542560:6"",""C0205095:1"",""C0030705:5"",""C0205448:1"",""C0450355:1"",""C0439230:2"",""C0205452:2"",""C3842588:1"",""C0445204:1"",""C0005975:1"",""C0024109:1"",""C0430511:1"",""C0036439:3"",""C3714541:6"",""C1514721:6"",""C0006155:1"",""C0543467:7"",""C0013264:1"",""C0449864:1"",""C2674596:2"",""C0205251:1""]"
12689516;"[""C0314604:1"",""C0017446:1"",""C0043292:3"",""C0021920:2"",""C0205453:1"",""C0392760:1"",""C0205319:1"",""C0002085:1"",""C1522138:1"",""C1511790:1"",""C0025663:1"",""C1881036:1"",""C0868928:2"",""C0015780:3"",""C0205447:2"",""C0042153:1"",""C0596988:1"",""C0019665:1"",""C0027868:1"",""C3827682:1"",""C0017382:1"",""C0086582:2"",""C1511760:1"",""C2948600:1"",""C0205210:1"",""C0521114:1"",""C0449851:1"",""C0205393:1"",""C1414083:3"",""C0150312:1"",""C0205307:1"",""C0205448:1"",""C2603343:2"",""C0205250:1"",""C1519302:1"",""C1537071:1"",""C0015576:1"",""C0012634:1"",""C0282524:1"",""C0205172:1"",""C1882417:1"",""C1708726:2"",""C3179032:1"",""C1705285:1"",""C0013264:1"",""C1521991:1"",""C1285573:1"",""C0439660:1"",""C1515926:1"",""C0205156:1"",""C0231220:1"",""C1518422:1"",""C0005516:1""]"
25608128;"[""C0332306:2"",""C0011546:3"",""C1707520:1"",""C0205250:3"",""C0439828:1"",""C2745955:1"",""C1521761:2"",""C0234130:1"",""C0518214:6"",""C1704922:1"",""C0376558:2"",""C0439849:3"",""C1706422:1"",""C0021822:1"",""C0043237:1"",""C0023733:1"",""C0205245:3"",""C0030705:6"",""C0439234:2"",""C0025663:1"",""C1274040:1"",""C0013264:2"",""C0870221:1"",""C1518422:2"",""C2603343:2"",""C0332149:1"",""C0085537:7"",""C2828008:4"",""C0242485:1""]"
17113013;"[""C0917713:1"",""C0018801:1"",""C0086418:1"",""C0242354:1"",""C0003507:1"",""C0376554:1"",""C0007193:1"",""C0684224:1"",""C0205195:1"",""C0439849:1"",""C1279901:1"",""C0184252:1"",""C0152417:1"",""C0030705:1""]"
20948175;"[""C0010853:2"",""C0079259:1"",""C0026850:2"",""C0443172:1"",""C0441748:1"",""C0013264:1"",""C1883708:1"",""C0542341:2"",""C0439861:1"",""C0681797:1"",""C1882348:1"",""C0004927:1"",""C0015127:1"",""C0023768:2"",""C0332307:1"",""C0260292:1"",""C1414083:6"",""C0017337:2"",""C0439849:1"",""C0205238:1"",""C1415068:1"",""C0026820:1"",""C0205314:1"",""C0681842:1"",""C0085872:1"",""C3813126:2"",""C1711351:1"",""C0007603:1"",""C1882071:2"",""C1880355:1"",""C0085732:1"",""C1449957:1"",""C3840786:1"",""C0439855:2"",""C0009013:1"",""C1512571:1"",""C0439234:3"",""C0043227:1"",""C0205177:1"",""C1166833:1"",""C0035173:2"",""C3813125:1"",""C1522240:1""]"
22454066;"[""C0026809:1"",""C0016030:1"",""C1414083:3"",""C0041703:2"",""C0887918:1"",""C1412056:2"",""C0332464:1"",""C0220781:1"",""C0449851:1"",""C1533691:1"",""C0810635:1"",""C1160185:1"",""C0449913:1"",""C0597363:1"",""C1552857:1"",""C0015295:3"",""C0450240:1"",""C1705242:1"",""C0442799:1"",""C0567416:4"",""C0543482:1"",""C3642273:2"",""C0079259:1"",""C0560435:2"",""C0039593:1"",""C3540698:1"",""C0008109:1"",""C0205088:1"",""C1979975:1"",""C0870432:1"",""C2827421:1"",""C0205373:1"",""C1824986:1"",""C1533685:1"",""C0205144:1"",""C0868928:1"",""C0205245:1"",""C0042153:1"",""C0814225:1"",""C0030705:1"",""C1326080:1"",""C0443252:1"",""C0206037:2"",""C0028630:1"",""C2700624:2"",""C0041525:1"",""C1418943:2"",""C0442335:1"",""C0017337:3"",""C0596995:1"",""C3840763:2"",""C0205177:2"",""C0392760:1"",""C0681761:1"",""C0086022:1"",""C0205171:1"",""C1280519:2"",""C0205250:1"",""C0205195:1"",""C0449719:1"",""C0037949:1"",""C0597177:1"",""C0085732:1"",""C0205360:1"",""C0162326:2"",""C0205166:1""]"
11477627;"[""C1538463:1"",""C0206535:1"",""C0205166:1"",""C3828438:1"",""C1521828:1"",""C0741916:1"",""C0033684:1"",""C1707520:1"",""C0007603:1"",""C1414083:1"",""C1518422:1"",""C1415347:1"",""C0871362:1"",""C0028580:1"",""C0024460:1"",""C0439083:1"",""C1555710:1"",""C0043100:1"",""C0012222:2"",""C1514721:1"",""C0013264:1"",""C0557720:1"",""C1709707:1"",""C1292533:1"",""C0040005:1"",""C0237881:2"",""C3484370:1"",""C0012634:1"",""C3842587:1"",""C1272575:1"",""C0023779:5"",""C1518918:1"",""C0042153:1"",""C0877853:1"",""C0311400:1"",""C0014406:1"",""C0442805:3"",""C0376261:1"",""C0007193:1"",""C0018801:1"",""C0205474:1"",""C0332448:2"",""C0333607:2"",""C1547039:1"",""C0444667:1"",""C0037812:1"",""C0037638:1"",""C0750502:1"",""C0567416:1"",""C0419358:1"",""C0936012:1"",""C1302234:2"",""C0036208:1"",""C0851043:1"",""C0439858:1"",""C0681814:1"",""C2603343:1"",""C3539882:1"",""C0205143:1"",""C0547047:1"",""C1444754:1"",""C0011065:1"",""C3715197:1"",""C0205266:1"",""C1948027:1"",""C2827424:3"",""C0332232:1"",""C0599863:1"",""C1719039:1""]"
